ID	GO_term	GO_name
PF02812	GO:0016491	oxidoreductase activity	function
PF02812	GO:0006520	amino acid metabolic process	process
PF01642	GO:0016866	intramolecular transferase activity	function
PF01642	GO:0031419	cobalamin binding	function
PF00703	GO:0005975	carbohydrate metabolic process	process
PF00703	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF02836	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF02836	GO:0005975	carbohydrate metabolic process	process
PF02837	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF02837	GO:0005975	carbohydrate metabolic process	process
PF00725	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	function
PF00725	GO:0016491	oxidoreductase activity	function
PF00725	GO:0006631	fatty acid metabolic process	process
PF07479	GO:0005975	carbohydrate metabolic process	process
PF07479	GO:0047952	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity	function
PF01192	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF01192	GO:0003677	DNA binding	function
PF01192	GO:0006351	DNA-templated transcription	process
PF00393	GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	function
PF00393	GO:0006098	pentose-phosphate shunt	process
PF03446	GO:0050661	NADP binding	function
PF00239	GO:0006310	DNA recombination	process
PF00239	GO:0000150	DNA strand exchange activity	function
PF00239	GO:0003677	DNA binding	function
PF02796	GO:0003677	DNA binding	function
PF02796	GO:0000150	DNA strand exchange activity	function
PF02796	GO:0006310	DNA recombination	process
PF00403	GO:0046872	metal ion binding	function
PF02876	GO:0005576	extracellular region	component
PF01676	GO:0046872	metal ion binding	function
PF01676	GO:0003824	catalytic activity	function
PF01297	GO:0030001	metal ion transport	process
PF01297	GO:0046872	metal ion binding	function
PF00185	GO:0006520	amino acid metabolic process	process
PF00185	GO:0016743	carboxyl- or carbamoyltransferase activity	function
PF00185	GO:0016597	amino acid binding	function
PF02729	GO:0016743	carboxyl- or carbamoyltransferase activity	function
PF02729	GO:0006520	amino acid metabolic process	process
PF00136	GO:0003677	DNA binding	function
PF00136	GO:0000166	nucleotide binding	function
PF01312	GO:0016020	membrane	component
PF01312	GO:0009306	protein secretion	process
PF01058	GO:0051536	iron-sulfur cluster binding	function
PF00389	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	function
PF00389	GO:0051287	NAD binding	function
PF02826	GO:0051287	NAD binding	function
PF00849	GO:0001522	pseudouridine synthesis	process
PF00849	GO:0009451	RNA modification	process
PF00849	GO:0003723	RNA binding	function
PF00849	GO:0009982	pseudouridine synthase activity	function
PF01182	GO:0005975	carbohydrate metabolic process	process
PF00999	GO:1902600	proton transmembrane transport	process
PF00999	GO:0016020	membrane	component
PF00999	GO:0015297	antiporter activity	function
PF00999	GO:0006812	monoatomic cation transport	process
PF00999	GO:0055085	transmembrane transport	process
PF02099	GO:0016579	protein deubiquitination	process
PF02099	GO:0004843	cysteine-type deubiquitinase activity	function
PF02152	GO:0004150	dihydroneopterin aldolase activity	function
PF02152	GO:0006760	folic acid-containing compound metabolic process	process
PF02310	GO:0046872	metal ion binding	function
PF02310	GO:0031419	cobalamin binding	function
PF02735	GO:0006303	double-strand break repair via nonhomologous end joining	process
PF02735	GO:0003677	DNA binding	function
PF02732	GO:0003677	DNA binding	function
PF02732	GO:0004518	nuclease activity	function
PF01395	GO:0005549	odorant binding	function
PF01123	GO:0090729	toxin activity	function
PF02737	GO:0006631	fatty acid metabolic process	process
PF02737	GO:0070403	NAD+ binding	function
PF01176	GO:0003723	RNA binding	function
PF01176	GO:0006413	translational initiation	process
PF01176	GO:0003743	translation initiation factor activity	function
PF01726	GO:0006508	proteolysis	process
PF01726	GO:0004252	serine-type endopeptidase activity	function
PF02931	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	function
PF02931	GO:0006811	monoatomic ion transport	process
PF02931	GO:0016020	membrane	component
PF00288	GO:0005524	ATP binding	function
PF00793	GO:0009058	biosynthetic process	process
PF06039	GO:0006099	tricarboxylic acid cycle	process
PF06039	GO:0008924	malate dehydrogenase (quinone) activity	function
PF00463	GO:0019752	carboxylic acid metabolic process	process
PF00463	GO:0004451	isocitrate lyase activity	function
PF04267	GO:0046653	tetrahydrofolate metabolic process	process
PF04267	GO:0008115	sarcosine oxidase activity	function
PF04261	GO:0004601	peroxidase activity	function
PF04261	GO:0020037	heme binding	function
PF19326	GO:0032264	IMP salvage	process
PF19326	GO:0003876	AMP deaminase activity	function
PF04107	GO:0004357	glutamate-cysteine ligase activity	function
PF04107	GO:0042398	cellular modified amino acid biosynthetic process	process
PF04259	GO:0030435	sporulation resulting in formation of a cellular spore	process
PF06368	GO:0019670	anaerobic glutamate catabolic process	process
PF06368	GO:0050097	methylaspartate mutase activity	function
PF04973	GO:0034258	nicotinamide riboside transport	process
PF04973	GO:0034257	nicotinamide riboside transmembrane transporter activity	function
PF04973	GO:0016020	membrane	component
PF05136	GO:0005198	structural molecule activity	function
PF05136	GO:0019068	virion assembly	process
PF05822	GO:0005737	cytoplasm	component
PF05822	GO:0008253	5'-nucleotidase activity	function
PF05822	GO:0000287	magnesium ion binding	function
PF04216	GO:0005737	cytoplasm	component
PF04759	GO:0010274	hydrotropism	process
PF04223	GO:0009346	ATP-independent citrate lyase complex	component
PF04223	GO:0005737	cytoplasm	component
PF04223	GO:0006084	acetyl-CoA metabolic process	process
PF04223	GO:0008814	citrate CoA-transferase activity	function
PF03543	GO:0004197	cysteine-type endopeptidase activity	function
PF05107	GO:0043571	maintenance of CRISPR repeat elements	process
PF05100	GO:0030430	host cell cytoplasm	component
PF05100	GO:0098015	virus tail	component
PF05100	GO:0051536	iron-sulfur cluster binding	function
PF05100	GO:0046718	viral entry into host cell	process
PF04492	GO:0006260	DNA replication	process
PF04043	GO:0004857	enzyme inhibitor activity	function
PF06213	GO:0009236	cobalamin biosynthetic process	process
PF12409	GO:0006812	monoatomic cation transport	process
PF12409	GO:0140358	P-type transmembrane transporter activity	function
PF12409	GO:0016020	membrane	component
PF12409	GO:0019829	ATPase-coupled monoatomic cation transmembrane transporter activity	function
PF13307	GO:0004386	helicase activity	function
PF13307	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	function
PF13307	GO:0003676	nucleic acid binding	function
PF13307	GO:0005524	ATP binding	function
PF13307	GO:0006139	nucleobase-containing compound metabolic process	process
PF17907	GO:0005634	nucleus	component
PF17907	GO:0042054	histone methyltransferase activity	function
PF07535	GO:0003676	nucleic acid binding	function
PF07535	GO:0008270	zinc ion binding	function
PF05773	GO:0005515	protein binding	function
PF07533	GO:0005515	protein binding	function
PF04721	GO:0006516	glycoprotein catabolic process	process
PF04721	GO:0005737	cytoplasm	component
PF03604	GO:0003677	DNA binding	function
PF03604	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF03604	GO:0006351	DNA-templated transcription	process
PF08513	GO:0005515	protein binding	function
PF16045	GO:0005515	protein binding	function
PF07289	GO:0034464	BBSome	component
PF06337	GO:0004843	cysteine-type deubiquitinase activity	function
PF04845	GO:0032422	purine-rich negative regulatory element binding	function
PF04845	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	function
PF03798	GO:0016020	membrane	component
PF02357	GO:0140673	transcription elongation-coupled chromatin remodeling	process
PF01344	GO:0005515	protein binding	function
PF00384	GO:0016491	oxidoreductase activity	function
PF01568	GO:0016491	oxidoreductase activity	function
PF01568	GO:0043546	molybdopterin cofactor binding	function
PF01769	GO:0006812	monoatomic cation transport	process
PF01769	GO:0008324	monoatomic cation transmembrane transporter activity	function
PF01974	GO:0000213	tRNA-intron endonuclease activity	function
PF01974	GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	process
PF02778	GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	process
PF02778	GO:0000213	tRNA-intron endonuclease activity	function
PF01979	GO:0016787	hydrolase activity	function
PF04909	GO:0016787	hydrolase activity	function
PF00924	GO:0055085	transmembrane transport	process
PF00924	GO:0016020	membrane	component
PF00025	GO:0003924	GTPase activity	function
PF00025	GO:0005525	GTP binding	function
PF03989	GO:0003677	DNA binding	function
PF03989	GO:0003916	DNA topoisomerase activity	function
PF03989	GO:0006265	DNA topological change	process
PF03989	GO:0005524	ATP binding	function
PF04053	GO:0006886	intracellular protein transport	process
PF04053	GO:0005198	structural molecule activity	function
PF04053	GO:0030117	membrane coat	component
PF04053	GO:0016192	vesicle-mediated transport	process
PF04083	GO:0006629	lipid metabolic process	process
PF04116	GO:0008610	lipid biosynthetic process	process
PF04116	GO:0016491	oxidoreductase activity	function
PF04116	GO:0005506	iron ion binding	function
PF04309	GO:0006355	regulation of DNA-templated transcription	process
PF04309	GO:0006071	glycerol metabolic process	process
PF04548	GO:0005525	GTP binding	function
PF04554	GO:0009664	plant-type cell wall organization	process
PF04554	GO:0005199	structural constituent of cell wall	function
PF04614	GO:0005777	peroxisome	component
PF04616	GO:0005975	carbohydrate metabolic process	process
PF04616	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF04617	GO:0006351	DNA-templated transcription	process
PF04617	GO:0005634	nucleus	component
PF04618	GO:0005634	nucleus	component
PF04620	GO:0071973	bacterial-type flagellum-dependent cell motility	process
PF04620	GO:0030288	outer membrane-bounded periplasmic space	component
PF04621	GO:0006355	regulation of DNA-templated transcription	process
PF04621	GO:0003700	DNA-binding transcription factor activity	function
PF04621	GO:0005634	nucleus	component
PF04624	GO:0007304	chorion-containing eggshell formation	process
PF04624	GO:0005576	extracellular region	component
PF04624	GO:0042600	egg chorion	component
PF04624	GO:0005213	structural constituent of egg chorion	function
PF04625	GO:0005213	structural constituent of egg chorion	function
PF04625	GO:0042600	egg chorion	component
PF04625	GO:0005576	extracellular region	component
PF04625	GO:0007304	chorion-containing eggshell formation	process
PF04626	GO:0005576	extracellular region	component
PF04626	GO:0007304	chorion-containing eggshell formation	process
PF04626	GO:0042600	egg chorion	component
PF04626	GO:0005213	structural constituent of egg chorion	function
PF04627	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	function
PF04627	GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	component
PF04627	GO:0015986	proton motive force-driven ATP synthesis	process
PF04628	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	process
PF04632	GO:0055085	transmembrane transport	process
PF04632	GO:0022857	transmembrane transporter activity	function
PF04632	GO:0005886	plasma membrane	component
PF04636	GO:0005634	nucleus	component
PF04636	GO:1901031	regulation of response to reactive oxygen species	process
PF04639	GO:0019031	viral envelope	component
PF04643	GO:0005576	extracellular region	component
PF04643	GO:0005179	hormone activity	function
PF04644	GO:0005576	extracellular region	component
PF04644	GO:0005179	hormone activity	function
PF04647	GO:0016020	membrane	component
PF04647	GO:0008233	peptidase activity	function
PF04647	GO:0009372	quorum sensing	process
PF04648	GO:0000772	mating pheromone activity	function
PF04648	GO:0019953	sexual reproduction	process
PF04648	GO:0005576	extracellular region	component
PF04655	GO:0006468	protein phosphorylation	process
PF04655	GO:0019748	secondary metabolic process	process
PF04655	GO:0016773	phosphotransferase activity, alcohol group as acceptor	function
PF04658	GO:0005669	transcription factor TFIID complex	component
PF04658	GO:0006367	transcription initiation at RNA polymerase II promoter	process
PF04659	GO:0097588	archaeal or bacterial-type flagellum-dependent cell motility	process
PF04661	GO:0003697	single-stranded DNA binding	function
PF04662	GO:0016032	viral process	process
PF04663	GO:0018662	phenol 2-monooxygenase activity	function
PF04664	GO:0038023	signaling receptor activity	function
PF04664	GO:0016020	membrane	component
PF04670	GO:0005525	GTP binding	function
PF04673	GO:0030639	polyketide biosynthetic process	process
PF04684	GO:0006338	chromatin remodeling	process
PF04684	GO:0003677	DNA binding	function
PF04684	GO:0005634	nucleus	component
PF04685	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF04686	GO:0051301	cell division	process
PF04687	GO:0046718	viral entry into host cell	process
PF04689	GO:0005634	nucleus	component
PF04689	GO:0006355	regulation of DNA-templated transcription	process
PF04689	GO:0003677	DNA binding	function
PF04690	GO:0007275	multicellular organism development	process
PF04691	GO:0042157	lipoprotein metabolic process	process
PF04691	GO:0005576	extracellular region	component
PF04692	GO:0016020	membrane	component
PF04692	GO:0008083	growth factor activity	function
PF04699	GO:0034314	Arp2/3 complex-mediated actin nucleation	process
PF04699	GO:0005885	Arp2/3 protein complex	component
PF04699	GO:0015629	actin cytoskeleton	component
PF04700	GO:0005198	structural molecule activity	function
PF04700	GO:0044423	virion component	component
PF04703	GO:0006355	regulation of DNA-templated transcription	process
PF04704	GO:0046872	metal ion binding	function
PF04704	GO:0005634	nucleus	component
PF04704	GO:0006355	regulation of DNA-templated transcription	process
PF04704	GO:0003677	DNA binding	function
PF04705	GO:0008649	rRNA methyltransferase activity	function
PF04705	GO:0046677	response to antibiotic	process
PF04706	GO:0007275	multicellular organism development	process
PF04706	GO:0030178	negative regulation of Wnt signaling pathway	process
PF04706	GO:0005576	extracellular region	component
PF04709	GO:0008406	gonad development	process
PF04709	GO:0008083	growth factor activity	function
PF04710	GO:0061630	ubiquitin protein ligase activity	function
PF04710	GO:0000209	protein polyubiquitination	process
PF04710	GO:0008592	regulation of Toll signaling pathway	process
PF04711	GO:0006869	lipid transport	process
PF04711	GO:0008289	lipid binding	function
PF04711	GO:0042157	lipoprotein metabolic process	process
PF04711	GO:0005576	extracellular region	component
PF04712	GO:0060294	cilium movement involved in cell motility	process
PF04712	GO:0001534	radial spoke	component
PF04712	GO:0060271	cilium assembly	process
PF04715	GO:0009058	biosynthetic process	process
PF04716	GO:0022904	respiratory electron transport chain	process
PF04718	GO:0015078	proton transmembrane transporter activity	function
PF04718	GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	component
PF04718	GO:0015986	proton motive force-driven ATP synthesis	process
PF04719	GO:0005634	nucleus	component
PF04719	GO:0006367	transcription initiation at RNA polymerase II promoter	process
PF04722	GO:0004721	phosphoprotein phosphatase activity	function
PF04722	GO:0005634	nucleus	component
PF04722	GO:0006397	mRNA processing	process
PF04723	GO:0050485	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor	function
PF04723	GO:0030699	glycine reductase activity	function
PF04723	GO:0030700	glycine reductase complex	component
PF04724	GO:0016020	membrane	component
PF04724	GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	function
PF04724	GO:0006487	protein N-linked glycosylation	process
PF04725	GO:0009523	photosystem II	component
PF04725	GO:0015979	photosynthesis	process
PF04725	GO:0009654	photosystem II oxygen evolving complex	component
PF04725	GO:0042651	thylakoid membrane	component
PF04726	GO:0003677	DNA binding	function
PF04728	GO:0019867	outer membrane	component
PF04729	GO:0006325	chromatin organization	process
PF04729	GO:0005634	nucleus	component
PF04731	GO:0007275	multicellular organism development	process
PF04731	GO:0006355	regulation of DNA-templated transcription	process
PF04731	GO:0005634	nucleus	component
PF04732	GO:0005882	intermediate filament	component
PF04735	GO:0003678	DNA helicase activity	function
PF04735	GO:0019079	viral genome replication	process
PF04736	GO:0018990	ecdysis, chitin-based cuticle	process
PF04736	GO:0008255	ecdysis-triggering hormone activity	function
PF04736	GO:0007218	neuropeptide signaling pathway	process
PF04739	GO:0005515	protein binding	function
PF04750	GO:0016020	membrane	component
PF04752	GO:0006751	glutathione catabolic process	process
PF04752	GO:0003839	gamma-glutamylcyclotransferase activity	function
PF04758	GO:0003735	structural constituent of ribosome	function
PF04758	GO:0005840	ribosome	component
PF04758	GO:0006412	translation	process
PF04762	GO:0002098	tRNA wobble uridine modification	process
PF04762	GO:0033588	elongator holoenzyme complex	component
PF04766	GO:0004518	nuclease activity	function
PF04767	GO:0003677	DNA binding	function
PF04767	GO:0019082	viral protein processing	process
PF04769	GO:0007531	mating type determination	process
PF04769	GO:0008301	DNA binding, bending	function
PF04769	GO:0045895	positive regulation of mating-type specific transcription, DNA-templated	process
PF04769	GO:0005634	nucleus	component
PF04771	GO:0019051	induction by virus of host apoptotic process	process
PF04772	GO:1902600	proton transmembrane transport	process
PF04772	GO:0016020	membrane	component
PF04785	GO:0016032	viral process	process
PF04785	GO:0019031	viral envelope	component
PF04790	GO:0016012	sarcoglycan complex	component
PF04790	GO:0016020	membrane	component
PF04795	GO:0031011	Ino80 complex	component
PF04799	GO:0008053	mitochondrial fusion	process
PF04799	GO:0005741	mitochondrial outer membrane	component
PF04799	GO:0003924	GTPase activity	function
PF04799	GO:0016020	membrane	component
PF04800	GO:0022900	electron transport chain	process
PF04801	GO:0006351	DNA-templated transcription	process
PF04801	GO:0005634	nucleus	component
PF04805	GO:0016972	thiol oxidase activity	function
PF04810	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	process
PF04810	GO:0006886	intracellular protein transport	process
PF04810	GO:0030127	COPII vesicle coat	component
PF04810	GO:0008270	zinc ion binding	function
PF04811	GO:0006886	intracellular protein transport	process
PF04811	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	process
PF04811	GO:0030127	COPII vesicle coat	component
PF04812	GO:0045893	positive regulation of DNA-templated transcription	process
PF04812	GO:0005634	nucleus	component
PF04813	GO:0045893	positive regulation of DNA-templated transcription	process
PF04813	GO:0005634	nucleus	component
PF04814	GO:0045893	positive regulation of DNA-templated transcription	process
PF04814	GO:0005634	nucleus	component
PF04815	GO:0006886	intracellular protein transport	process
PF04815	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	process
PF04815	GO:0030127	COPII vesicle coat	component
PF04816	GO:0016429	tRNA (adenine-N1-)-methyltransferase activity	function
PF04820	GO:0004497	monooxygenase activity	function
PF04825	GO:0005515	protein binding	function
PF04828	GO:0016846	carbon-sulfur lyase activity	function
PF04831	GO:0016020	membrane	component
PF04833	GO:0016020	membrane	component
PF04833	GO:0010215	cellulose microfibril organization	process
PF04838	GO:0006355	regulation of DNA-templated transcription	process
PF04839	GO:0003735	structural constituent of ribosome	function
PF04839	GO:0005840	ribosome	component
PF04839	GO:0006412	translation	process
PF04840	GO:0005737	cytoplasm	component
PF04840	GO:0006886	intracellular protein transport	process
PF04841	GO:0005737	cytoplasm	component
PF04841	GO:0006886	intracellular protein transport	process
PF04847	GO:0019722	calcium-mediated signaling	process
PF04848	GO:0000287	magnesium ion binding	function
PF04848	GO:0006310	DNA recombination	process
PF04848	GO:0006281	DNA repair	process
PF04848	GO:0000400	four-way junction DNA binding	function
PF04848	GO:0016788	hydrolase activity, acting on ester bonds	function
PF04850	GO:0019031	viral envelope	component
PF04851	GO:0005524	ATP binding	function
PF04851	GO:0016787	hydrolase activity	function
PF04851	GO:0003677	DNA binding	function
PF04855	GO:0000228	nuclear chromosome	component
PF04855	GO:0006338	chromatin remodeling	process
PF04856	GO:0051276	chromosome organization	process
PF04856	GO:0005634	nucleus	component
PF04856	GO:0005737	cytoplasm	component
PF04858	GO:0005634	nucleus	component
PF04858	GO:0045892	negative regulation of DNA-templated transcription	process
PF04863	GO:0016846	carbon-sulfur lyase activity	function
PF04864	GO:0016846	carbon-sulfur lyase activity	function
PF04868	GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity	function
PF04868	GO:0007601	visual perception	process
PF04868	GO:0030553	cGMP binding	function
PF04869	GO:0005737	cytoplasm	component
PF04869	GO:0006886	intracellular protein transport	process
PF04869	GO:0000139	Golgi membrane	component
PF04869	GO:0048280	vesicle fusion with Golgi apparatus	process
PF04871	GO:0006886	intracellular protein transport	process
PF04871	GO:0016192	vesicle-mediated transport	process
PF04879	GO:0016491	oxidoreductase activity	function
PF04881	GO:0005537	mannose binding	function
PF04881	GO:0019049	mitigation of host antiviral defense response	process
PF04882	GO:0005778	peroxisomal membrane	component
PF04882	GO:0007031	peroxisome organization	process
PF04889	GO:0000398	mRNA splicing, via spliceosome	process
PF04889	GO:0005681	spliceosomal complex	component
PF04891	GO:0009399	nitrogen fixation	process
PF04891	GO:0030151	molybdenum ion binding	function
PF04893	GO:0016020	membrane	component
PF04898	GO:0015930	glutamate synthase activity	function
PF04898	GO:0006807	nitrogen compound metabolic process	process
PF04900	GO:0032040	small-subunit processome	component
PF04901	GO:0006886	intracellular protein transport	process
PF04901	GO:0008277	regulation of G protein-coupled receptor signaling pathway	process
PF04901	GO:0015026	coreceptor activity	function
PF04901	GO:0016020	membrane	component
PF04902	GO:0006355	regulation of DNA-templated transcription	process
PF04902	GO:0005634	nucleus	component
PF04902	GO:0003712	transcription coregulator activity	function
PF04904	GO:0003712	transcription coregulator activity	function
PF04904	GO:0006355	regulation of DNA-templated transcription	process
PF04904	GO:0005634	nucleus	component
PF04905	GO:0005634	nucleus	component
PF04905	GO:0045892	negative regulation of DNA-templated transcription	process
PF04906	GO:0016020	membrane	component
PF04911	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)	component
PF04911	GO:0015078	proton transmembrane transporter activity	function
PF04911	GO:0015986	proton motive force-driven ATP synthesis	process
PF04916	GO:0004620	phospholipase activity	function
PF04921	GO:0005634	nucleus	component
PF04923	GO:0007155	cell adhesion	process
PF04923	GO:0042246	tissue regeneration	process
PF04923	GO:0016020	membrane	component
PF04926	GO:0003723	RNA binding	function
PF04926	GO:0043631	RNA polyadenylation	process
PF04928	GO:1990817	poly(A) RNA polymerase activity	function
PF04928	GO:0043631	RNA polyadenylation	process
PF04931	GO:0006355	regulation of DNA-templated transcription	process
PF04931	GO:0003677	DNA binding	function
PF04931	GO:0005730	nucleolus	component
PF04931	GO:0008134	transcription factor binding	function
PF04934	GO:0003712	transcription coregulator activity	function
PF04934	GO:0016592	mediator complex	component
PF04934	GO:0006357	regulation of transcription by RNA polymerase II	process
PF04939	GO:0005515	protein binding	function
PF04939	GO:0005634	nucleus	component
PF04939	GO:0042254	ribosome biogenesis	process
PF04940	GO:0009882	blue light photoreceptor activity	function
PF04940	GO:0071949	FAD binding	function
PF04941	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF04941	GO:0003677	DNA binding	function
PF04941	GO:0006351	DNA-templated transcription	process
PF04947	GO:0046782	regulation of viral transcription	process
PF04952	GO:0016788	hydrolase activity, acting on ester bonds	function
PF04958	GO:0006527	arginine catabolic process	process
PF04958	GO:0008791	arginine N-succinyltransferase activity	function
PF04961	GO:0044237	cellular metabolic process	process
PF04961	GO:0003824	catalytic activity	function
PF04963	GO:0006352	DNA-templated transcription initiation	process
PF04963	GO:0003677	DNA binding	function
PF04966	GO:0016020	membrane	component
PF04966	GO:0015288	porin activity	function
PF04966	GO:0008643	carbohydrate transport	process
PF04971	GO:0140911	pore-forming activity	function
PF04971	GO:0001907	killing by symbiont of host cells	process
PF04976	GO:0019645	anaerobic electron transport chain	process
PF04976	GO:0016020	membrane	component
PF04979	GO:0043666	regulation of phosphoprotein phosphatase activity	process
PF04979	GO:0009966	regulation of signal transduction	process
PF04979	GO:0004864	protein phosphatase inhibitor activity	function
PF04983	GO:0006351	DNA-templated transcription	process
PF04983	GO:0003677	DNA binding	function
PF04983	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF04986	GO:0006313	transposition, DNA-mediated	process
PF04986	GO:0004803	transposase activity	function
PF04986	GO:0003677	DNA binding	function
PF04988	GO:0003677	DNA binding	function
PF04988	GO:0005634	nucleus	component
PF04989	GO:0008168	methyltransferase activity	function
PF04989	GO:0008610	lipid biosynthetic process	process
PF04990	GO:0006351	DNA-templated transcription	process
PF04990	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF04990	GO:0003677	DNA binding	function
PF04992	GO:0003677	DNA binding	function
PF04992	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF04992	GO:0006351	DNA-templated transcription	process
PF04995	GO:0015886	heme transport	process
PF04995	GO:0016020	membrane	component
PF04995	GO:0017004	cytochrome complex assembly	process
PF04996	GO:0009015	N-succinylarginine dihydrolase activity	function
PF04996	GO:0006525	arginine metabolic process	process
PF04997	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF04997	GO:0003677	DNA binding	function
PF04997	GO:0006351	DNA-templated transcription	process
PF04998	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF04998	GO:0003677	DNA binding	function
PF04998	GO:0006351	DNA-templated transcription	process
PF05000	GO:0006351	DNA-templated transcription	process
PF05000	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF05000	GO:0003677	DNA binding	function
PF04197	GO:0019079	viral genome replication	process
PF04197	GO:0003968	RNA-dependent RNA polymerase activity	function
PF04427	GO:0006364	rRNA processing	process
PF04427	GO:0019843	rRNA binding	function
PF00562	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF00562	GO:0003677	DNA binding	function
PF00562	GO:0006351	DNA-templated transcription	process
PF00125	GO:0003677	DNA binding	function
PF03979	GO:0003677	DNA binding	function
PF03979	GO:0006355	regulation of DNA-templated transcription	process
PF03980	GO:0000444	MIS12/MIND type complex	component
PF03982	GO:0008374	O-acyltransferase activity	function
PF03983	GO:0030674	protein-macromolecule adaptor activity	function
PF03983	GO:0042802	identical protein binding	function
PF03983	GO:0043130	ubiquitin binding	function
PF03983	GO:0008092	cytoskeletal protein binding	function
PF03985	GO:0016593	Cdc73/Paf1 complex	component
PF03985	GO:0016570	histone modification	process
PF03985	GO:0006368	transcription elongation by RNA polymerase II	process
PF03987	GO:0019787	ubiquitin-like protein transferase activity	function
PF03996	GO:0019031	viral envelope	component
PF03996	GO:0046789	host cell surface receptor binding	function
PF03996	GO:0019064	fusion of virus membrane with host plasma membrane	process
PF03996	GO:0016788	hydrolase activity, acting on ester bonds	function
PF03997	GO:0000813	ESCRT I complex	component
PF03997	GO:0032509	endosome transport via multivesicular body sorting pathway	process
PF03998	GO:0032040	small-subunit processome	component
PF03998	GO:0006364	rRNA processing	process
PF04004	GO:0006368	transcription elongation by RNA polymerase II	process
PF04004	GO:0016570	histone modification	process
PF04004	GO:0016593	Cdc73/Paf1 complex	component
PF04005	GO:0000077	DNA damage checkpoint signaling	process
PF04005	GO:0030896	checkpoint clamp complex	component
PF04013	GO:0008175	tRNA methyltransferase activity	function
PF04014	GO:0003677	DNA binding	function
PF04019	GO:0016301	kinase activity	function
PF04019	GO:0015937	coenzyme A biosynthetic process	process
PF04023	GO:0046914	transition metal ion binding	function
PF04026	GO:0030435	sporulation resulting in formation of a cellular spore	process
PF04030	GO:0003885	D-arabinono-1,4-lactone oxidase activity	function
PF04030	GO:0016020	membrane	component
PF04031	GO:0006364	rRNA processing	process
PF04031	GO:0090730	Las1 complex	component
PF04031	GO:0004519	endonuclease activity	function
PF04032	GO:0006396	RNA processing	process
PF04037	GO:0005634	nucleus	component
PF04042	GO:0003677	DNA binding	function
PF04042	GO:0006260	DNA replication	process
PF04045	GO:0034314	Arp2/3 complex-mediated actin nucleation	process
PF04045	GO:0015629	actin cytoskeleton	component
PF04045	GO:0005885	Arp2/3 protein complex	component
PF04048	GO:0000145	exocyst	component
PF04048	GO:0006904	vesicle docking involved in exocytosis	process
PF04049	GO:0005680	anaphase-promoting complex	component
PF04052	GO:0015031	protein transport	process
PF04052	GO:0042597	periplasmic space	component
PF04055	GO:0003824	catalytic activity	function
PF04055	GO:0051536	iron-sulfur cluster binding	function
PF04057	GO:0005634	nucleus	component
PF04057	GO:0003677	DNA binding	function
PF04057	GO:0006260	DNA replication	process
PF04060	GO:0051536	iron-sulfur cluster binding	function
PF04061	GO:0016020	membrane	component
PF04061	GO:0005789	endoplasmic reticulum membrane	component
PF04062	GO:0034314	Arp2/3 complex-mediated actin nucleation	process
PF04062	GO:0005856	cytoskeleton	component
PF04062	GO:0005885	Arp2/3 protein complex	component
PF04065	GO:0006355	regulation of DNA-templated transcription	process
